by	post_id	by	post_text	post_published	comment_message	comment_published	comment_like_count
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451944331548075	page_433933910015784	English (Português e espanhol nos comentários)  An article on social currencies in Brazil.	2013-04-18T20:11:46+0000	Un artículo sobre monedas sociales en Brasil. http://infosurhoy.com/cocoon/saii/xhtml/es/features/saii/features/economy/2013/04/04/feature-03	2013-04-18T20:12:58+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451944331548075	page_433933910015784	English (Português e espanhol nos comentários)  An article on social currencies in Brazil.	2013-04-18T20:11:46+0000	Wow Miguel! Superb....	2013-04-19T01:08:48+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451711058238069	page_433933910015784	A whisper from South Africa...How to finance social enterprises....	2013-04-18T10:04:07+0000	You can download the document from here: http://www.greatergoodsa.co.za/files/GTF.pdf	2013-04-18T10:04:41+0000	0
9c6ef73765e1a68c28d04059b79918e3ebaf94fc	433933910015784_451711058238069	page_433933910015784	A whisper from South Africa...How to finance social enterprises....	2013-04-18T10:04:07+0000	Thanks i am sharing	2013-04-18T10:11:51+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451711058238069	page_433933910015784	A whisper from South Africa...How to finance social enterprises....	2013-04-18T10:04:07+0000	My pleasure Ethel....let us amplify the voices from Africa....though maybe artificial for now. Hugs	2013-04-18T10:13:13+0000	0
9c6ef73765e1a68c28d04059b79918e3ebaf94fc	433933910015784_451711058238069	page_433933910015784	A whisper from South Africa...How to finance social enterprises....	2013-04-18T10:04:07+0000	I am doing it with a few pages here a few groups and a blog ... I am reaching out more 120000 when i post in a few	2013-04-18T10:14:53+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451711058238069	page_433933910015784	A whisper from South Africa...How to finance social enterprises....	2013-04-18T10:04:07+0000	Ohhh...please help us propagate the RIPESSGlobal. Merci. We need stars like you!	2013-04-18T10:15:47+0000	0
00a3f320dd6012925d273d7393a9bcb529c1d95f	433933910015784_451711058238069	page_433933910015784	A whisper from South Africa...How to finance social enterprises....	2013-04-18T10:04:07+0000	A great aventure, I wish for you ! :)	2013-04-18T10:17:06+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451435071599001	page_433933910015784	The sharing economy....a new lens for the consumers in a solidarity economy....	2013-04-17T14:31:36+0000	And this is how to build a sharing economy......http://www.youtube.com/watch?v=z9CIObFCJeQ&feature=endscreen	2013-04-17T14:40:37+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_451435071599001	page_433933910015784	The sharing economy....a new lens for the consumers in a solidarity economy....	2013-04-17T14:31:36+0000	More on collaborative consumption here: http://www.newstatesman.com/blogs/economics/2012/10/collaborative-consumption-new-economy	2013-04-17T14:49:25+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_450912708317904	page_433933910015784	Research based legal framework of social enterprises in South Africa....	2013-04-16T00:34:04+0000	You can download the full research based document here: http://greatercapital.co.za/wp-content/uploads/2012/08/ILO_guide_legal_forms.pdf	2013-04-16T00:35:44+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_155068231329069	page_433933910015784		2013-04-14T06:20:49+0000	The site is located here: https://www.facebook.com/transitionnetwork?group_id=0	2013-04-14T06:21:36+0000	0
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_118022978395073	page_433933910015784	English / Español / Français  An article in English on the cooperative Cecosesola in Barquisimeto_ Venezuela which deals with funeral services_ public transportation_ food and health services.  Keep in mind that this coop was born much before Chávez administration.  ---------  Un artículo en inglés sobre la cooperativa Cecosesola en Barquisimeto_ Venezuela que ofrece servicios funerales_ de salud y de transporte público y alimentación.  Ojo que esta cooperativa nació mucho antes del gobierno de Chávez.  ---------  Un article en anglais sur la coopérative Cecosesola à Barquisimeto_ Vénézuéla qui offre des services funéraires_ de santé et de transport public et de nourriture.  Attention que cette coopérative est née beaucoup avant du gouvernement de Chávez.	2013-04-13T19:55:14+0000	Español / Deutsch / English / Français Un vídeo sobre esta cooperativa (26 minutos). Ein Video über diese Kooperative (26 Minuten, auf Spanisch mit Subtitel auf Deutsch) A video on this coop (26 minutes, in Spanish with German subtitle) Un vidéo sur cette coopérative (26 minutes, en espagnol avec le sous-titre en allemand) https://www.youtube.com/watch?v=iM0ti-5Rh7E	2013-04-13T19:57:10+0000	1
0f368059679de79a32184747c9d84a0f3483b7e6	433933910015784_118022978395073	page_433933910015784	English / Español / Français  An article in English on the cooperative Cecosesola in Barquisimeto_ Venezuela which deals with funeral services_ public transportation_ food and health services.  Keep in mind that this coop was born much before Chávez administration.  ---------  Un artículo en inglés sobre la cooperativa Cecosesola en Barquisimeto_ Venezuela que ofrece servicios funerales_ de salud y de transporte público y alimentación.  Ojo que esta cooperativa nació mucho antes del gobierno de Chávez.  ---------  Un article en anglais sur la coopérative Cecosesola à Barquisimeto_ Vénézuéla qui offre des services funéraires_ de santé et de transport public et de nourriture.  Attention que cette coopérative est née beaucoup avant du gouvernement de Chávez.	2013-04-13T19:55:14+0000	And its official website (in Spanish) / Y su página web oficial / Et son site web officiel (en espagnol) http://www.cecosesola.net/	2013-04-13T19:58:03+0000	1
a841ad1411daab76e810d19dba7937be6c3e5206	433933910015784_118022978395073	page_433933910015784	English / Español / Français  An article in English on the cooperative Cecosesola in Barquisimeto_ Venezuela which deals with funeral services_ public transportation_ food and health services.  Keep in mind that this coop was born much before Chávez administration.  ---------  Un artículo en inglés sobre la cooperativa Cecosesola en Barquisimeto_ Venezuela que ofrece servicios funerales_ de salud y de transporte público y alimentación.  Ojo que esta cooperativa nació mucho antes del gobierno de Chávez.  ---------  Un article en anglais sur la coopérative Cecosesola à Barquisimeto_ Vénézuéla qui offre des services funéraires_ de santé et de transport public et de nourriture.  Attention que cette coopérative est née beaucoup avant du gouvernement de Chávez.	2013-04-13T19:55:14+0000	More about CECOSESOLA... a really impressive experience https://sseacb.wikispaces.com/Case+CECOSESOLA	2013-04-14T00:15:56+0000	1
